Id,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,HeatingQC,KitchenQual,Functional,FireplaceQu,GarageFinish,GarageCond,Fence,SalePrice_log,SalePrice,HasGasHeating,Electrical_combined,GarageType_combined,GarageQual_combined,SaleType_combined,HasPavedDrive,SaleCond_combined,HasCentralAir
0,5,4,2,7,2,5,4,8,1,3,4,1,12.24769432,208500,1,1,1,3,1,1,1,1
1,5,4,5,6,2,5,3,8,4,3,4,1,12.10901093,181500,1,1,1,3,1,1,1,1
2,5,4,3,7,2,5,4,8,4,3,4,1,12.31716669,223500,1,1,1,3,1,1,1,1
3,4,5,2,6,2,4,4,8,5,2,4,1,11.8493977,140000,1,1,2,3,1,1,0,1
4,5,4,4,7,2,5,4,8,4,3,4,1,12.4292162,250000,1,1,1,3,1,1,1,1
5,5,4,2,7,2,5,3,8,1,2,4,4,11.87059991,143000,1,1,1,3,1,1,1,1
6,6,4,4,7,2,5,4,8,5,3,4,1,12.63460303,307000,1,1,1,3,1,1,1,1
7,5,4,3,6,5,5,3,8,4,3,4,1,12.20607265,200000,1,1,1,3,1,1,1,1
8,4,4,2,2,2,4,3,7,4,2,4,1,11.7745202,129900,1,0,2,2,1,1,0,1
9,4,4,2,7,2,5,3,8,4,3,4,1,11.6784399,118000,1,1,1,2,1,1,1,1
10,4,4,2,4,2,5,3,8,1,2,4,1,11.77143616,129500,1,1,2,3,1,1,1,1
11,6,4,2,7,2,5,5,8,5,4,4,1,12.7512997,345000,1,1,3,3,2,1,0,1
12,4,4,2,6,2,3,3,8,1,2,4,1,11.87756858,144000,1,1,2,3,1,1,1,1
13,5,4,4,2,2,5,4,8,5,3,4,1,12.54075757,279500,1,1,1,3,2,1,0,1
14,4,4,2,5,2,3,3,8,3,3,4,3,11.96400108,157000,1,1,1,3,1,1,1,1
15,4,4,2,2,2,5,3,8,1,2,4,5,11.7905572,132000,1,2,2,3,1,1,1,1
16,4,4,2,6,2,5,3,8,4,4,4,1,11.91170158,149000,1,1,1,3,1,1,1,1
17,1,1,1,1,1,3,3,8,1,2,4,1,11.40756495,90000,1,1,0,3,1,1,1,1
18,4,4,2,7,2,5,4,8,1,2,4,1,11.97665948,159000,1,1,2,3,1,1,1,1
19,4,4,2,3,2,3,3,7,1,2,4,4,11.84222921,139000,1,1,1,3,0,1,0,1
20,6,4,4,2,2,5,4,8,5,3,4,1,12.69250311,325300,1,1,3,3,2,1,0,1
21,4,4,2,2,2,5,4,8,5,2,4,5,11.84510278,139400,1,0,1,3,1,0,1,1
22,5,4,2,2,2,5,4,8,5,3,4,1,12.34583459,230000,1,1,1,3,1,1,1,1
23,5,4,2,7,2,3,3,8,4,2,4,1,11.7745202,129900,1,1,1,3,1,1,1,1
24,4,4,3,4,6,5,4,8,4,2,4,4,11.94470788,154000,1,1,1,3,1,1,1,1
25,5,4,2,2,2,5,4,8,5,3,4,1,12.45410391,256300,1,1,1,3,1,1,1,1
26,4,4,3,5,4,3,4,8,1,2,4,1,11.81154748,134800,1,1,2,3,1,1,1,1
27,6,4,2,7,2,5,4,8,5,3,4,1,12.63134038,306000,1,1,1,3,1,1,1,1
28,4,4,5,5,2,3,3,8,5,3,4,1,12.24288662,207500,1,1,1,3,1,1,1,1
29,4,4,2,2,2,2,2,8,1,2,4,1,11.13458902,68500,1,1,2,2,1,1,1,0
30,4,4,2,2,2,3,3,8,1,2,3,4,10.59663473,40000,1,1,2,3,1,0,1,0
31,4,4,2,2,2,4,4,8,1,2,4,4,11.91404782,149350,1,1,1,3,1,1,1,1
32,6,4,4,2,2,5,4,8,1,3,4,1,12.10015642,179900,1,1,1,3,1,1,1,1
33,4,4,2,4,2,4,4,8,5,3,4,1,12.01672647,165500,1,1,1,3,1,1,1,1
34,6,4,2,7,2,5,5,8,5,4,4,1,12.53357621,277500,1,1,1,3,1,1,1,1
35,6,4,4,2,2,5,4,8,5,4,4,1,12.64109656,309000,1,1,3,3,1,1,1,1
36,5,4,2,2,2,5,3,8,1,2,4,1,11.88448902,145000,1,1,1,3,1,1,1,1
37,4,4,2,4,2,4,3,8,4,4,4,1,11.9381932,153000,1,1,1,3,1,1,1,1
38,4,4,2,7,2,3,4,8,1,2,4,1,11.59910316,109000,1,1,2,3,1,1,0,1
39,1,1,1,1,1,3,2,8,1,1,1,1,11.31447453,82000,1,0,0,1,1,0,0,0
40,4,4,2,4,2,5,3,8,4,3,4,3,11.98292909,160000,1,1,1,3,1,1,0,1
41,4,4,5,5,2,4,3,8,5,3,4,1,12.04355372,170000,1,1,1,3,1,0,1,1
42,5,4,4,6,3,4,4,8,1,3,5,4,11.87756858,144000,1,1,1,3,1,1,1,1
43,5,4,4,3,5,3,3,8,1,2,4,4,11.77721096,130250,1,1,2,3,1,1,1,1
44,4,4,2,6,5,5,3,8,1,3,4,1,11.85651517,141000,1,2,1,3,1,1,1,1
45,6,4,2,7,2,5,5,8,5,3,4,1,12.67576373,319900,1,1,1,3,1,1,1,1
46,6,4,2,7,2,5,4,8,6,3,4,1,12.38708501,239686,1,1,1,3,1,1,0,1
47,5,4,4,7,2,5,4,8,1,3,4,1,12.42801548,249700,1,1,1,3,1,1,1,1
48,4,4,2,2,2,4,3,8,1,1,1,1,11.6351431,113000,1,1,0,1,2,0,0,1
49,4,4,2,5,2,5,3,8,1,2,4,4,11.75194237,127000,1,1,1,3,1,1,1,1
50,5,4,4,7,2,4,3,8,1,4,4,1,12.08390501,177000,1,1,1,3,1,1,1,1
51,4,4,2,2,2,3,3,8,5,2,4,4,11.6483301,114500,1,1,2,3,1,1,1,1
52,5,4,5,3,7,3,3,8,1,2,4,1,11.60823564,110000,1,1,0,3,1,1,1,0
53,6,4,5,7,2,4,4,8,5,4,4,1,12.86099861,385000,1,1,1,3,1,1,1,1
54,4,4,2,6,2,3,3,7,4,2,4,4,11.77528973,130000,1,1,2,3,1,1,1,1
55,4,4,2,5,2,4,3,8,5,3,4,1,12.10348606,180500,1,1,1,3,1,1,1,1
56,5,4,2,7,2,5,4,8,1,4,4,1,12.05815252,172500,1,1,1,3,1,1,0,1
57,5,4,2,2,2,5,4,8,1,3,4,1,12.18841771,196500,1,1,1,3,1,1,1,1
58,6,4,5,2,2,5,4,8,5,4,4,1,12.99175343,438780,1,1,3,3,2,1,0,1
59,4,4,4,6,2,5,3,8,1,2,4,4,11.7352687,124900,1,1,2,3,1,1,1,1
60,5,4,2,6,2,5,4,8,1,2,4,1,11.97035031,158000,1,1,2,3,2,1,0,1
61,4,3,2,2,2,3,2,8,1,2,4,1,11.5228758,101000,1,1,2,3,1,0,1,0
62,5,5,3,7,2,5,4,8,5,3,4,1,12.21849517,202500,1,1,1,3,1,1,1,1
63,4,4,2,2,2,4,3,8,1,2,4,5,11.8493977,140000,1,1,2,3,1,1,1,1
64,5,4,2,7,2,5,4,8,1,3,4,5,12.29910751,219500,1,1,1,3,1,1,1,1
65,6,4,4,2,2,5,4,8,5,3,4,1,12.66665705,317000,1,1,3,3,1,1,1,1
66,5,4,5,7,2,3,3,7,5,3,4,1,12.10071213,180000,1,1,1,3,1,1,1,1
67,5,4,4,7,2,5,4,8,1,3,4,1,12.32829028,226000,1,1,1,3,1,1,1,1
68,4,4,2,2,2,3,3,8,1,2,4,1,11.28978191,80000,1,1,1,3,1,1,1,1
69,4,4,2,5,2,3,3,8,4,4,4,1,12.32385568,225000,1,1,1,3,1,1,1,1
70,5,4,5,6,2,5,3,8,5,4,4,1,12.4049235,244000,1,1,1,3,1,1,1,1
71,4,4,2,6,2,3,3,8,1,2,4,1,11.77143616,129500,1,1,2,3,1,1,1,1
72,5,4,2,2,2,4,3,8,4,4,4,1,12.1281111,185000,1,1,1,3,1,1,1,1
73,4,4,2,6,5,4,3,8,1,2,4,3,11.88379913,144900,1,1,1,3,1,1,1,1
74,3,4,2,2,2,4,3,8,1,2,4,1,11.58431546,107400,1,1,2,3,1,1,1,0
75,5,4,5,7,2,3,3,8,1,2,4,3,11.41861479,91000,1,1,3,3,1,1,1,1
76,4,4,2,6,2,5,3,8,1,2,4,1,11.81857024,135750,1,2,2,3,1,1,1,1
77,4,4,2,5,7,3,3,7,1,2,4,4,11.75194237,127000,1,1,2,3,1,1,1,1
78,4,4,2,2,2,3,3,8,1,1,1,1,11.82407989,136500,1,1,0,1,1,1,1,0
79,4,4,2,2,2,4,3,8,1,2,4,4,11.60823564,110000,1,1,2,3,1,1,1,1
80,5,4,2,4,2,3,4,8,5,4,4,1,12.17303279,193500,1,1,1,3,1,1,1,1
81,6,5,2,7,2,5,3,8,1,4,4,1,11.94145585,153500,1,1,1,3,1,1,1,1
82,5,4,2,7,2,5,4,8,5,3,4,1,12.40901349,245000,1,1,1,3,1,1,1,1
83,4,4,2,2,2,4,3,8,1,2,4,1,11.74799759,126500,1,1,2,3,0,1,1,1
84,5,4,2,2,2,4,3,8,4,4,4,1,12.03469103,168500,1,1,3,3,1,1,1,1
85,5,4,2,2,2,5,4,8,4,2,4,1,12.46843691,260000,1,1,1,3,1,1,1,1
86,5,4,4,2,2,5,4,8,5,4,4,1,12.06681058,174000,1,1,3,3,1,1,1,1
87,5,4,4,2,2,5,4,8,1,3,4,1,12.01066585,164500,1,1,2,3,2,1,0,1
88,4,3,2,2,2,3,2,8,1,1,1,4,11.35040654,85000,1,1,0,1,0,0,0,0
89,5,4,2,7,2,5,3,8,1,1,1,1,11.72480582,123600,1,1,0,1,1,1,1,1
90,1,1,1,1,1,3,3,8,1,2,4,1,11.60732614,109900,1,2,2,3,1,1,1,1
91,4,4,2,4,2,3,3,8,1,2,4,3,11.49882654,98600,1,1,1,3,1,1,0,1
92,5,4,2,6,2,5,3,8,1,2,4,1,12.00456827,163500,1,1,2,3,1,1,1,1
93,4,3,3,4,2,5,3,8,5,2,4,1,11.80484853,133900,1,1,2,3,1,1,1,0
94,5,4,2,7,2,5,4,8,1,3,4,1,12.229545,204750,1,1,1,3,1,1,1,1
95,5,5,2,6,2,4,3,8,4,4,4,1,12.1281111,185000,1,1,3,3,1,1,1,1
96,5,4,4,6,2,5,4,8,1,3,4,1,12.27373129,214000,1,1,1,3,1,1,1,1
97,4,4,2,4,2,3,3,8,1,4,4,1,11.45899712,94750,1,0,1,3,1,0,1,1
98,4,4,2,6,2,2,3,8,1,2,4,1,11.32659589,83000,1,1,0,2,0,1,0,0
99,4,4,2,6,2,2,3,8,1,1,1,1,11.76718001,128950,1,1,0,1,1,1,1,1
100,4,4,3,6,2,4,4,8,4,3,4,1,12.23076526,205000,1,1,1,3,1,1,1,1
101,5,4,2,2,2,3,4,8,4,4,4,1,12.08953883,178000,1,1,1,3,1,1,1,1
102,1,1,1,1,1,3,3,8,1,2,4,1,11.68657621,118964,1,1,1,3,1,1,0,1
103,5,4,2,2,2,5,4,8,1,3,4,1,12.20055746,198900,1,1,1,3,1,1,1,1
104,4,4,2,3,2,5,3,8,4,2,4,1,12.04060821,169500,1,0,2,3,1,1,1,1
105,6,4,2,2,2,5,4,8,5,3,4,1,12.4292162,250000,1,1,1,3,1,1,1,1
106,3,4,2,2,2,4,3,8,1,2,3,1,11.51292546,100000,1,1,2,2,1,0,1,1
107,4,4,2,6,5,5,3,8,1,2,4,1,11.65268741,115000,1,1,2,3,1,1,0,1
108,4,4,2,2,2,3,2,8,1,1,1,1,11.65268741,115000,1,0,0,1,1,0,1,0
109,5,4,2,5,2,5,3,8,4,3,4,4,12.15477935,190000,1,1,1,3,0,1,1,1
110,4,3,2,4,2,4,3,8,1,2,4,1,11.82700601,136900,1,1,1,3,1,1,1,1
111,5,4,2,7,2,5,3,8,4,4,4,1,12.10071213,180000,1,1,3,3,1,1,1,1
112,6,4,4,7,2,5,5,8,5,4,4,1,12.8583197,383970,1,1,3,3,2,1,0,1
113,5,4,3,6,4,3,4,8,5,2,4,4,12.28765263,217000,1,1,0,3,0,1,0,1
114,4,4,2,6,3,5,4,8,4,2,4,4,12.46651198,259500,1,1,2,3,1,1,1,1
115,5,4,2,7,2,4,3,8,3,2,4,1,12.07823927,176000,1,1,2,3,1,1,1,1
116,4,4,2,3,5,3,3,8,2,2,4,1,11.84222921,139000,1,1,1,3,1,1,1,1
117,5,4,2,2,2,4,3,8,1,2,4,1,11.9511804,155000,1,1,1,3,2,1,0,1
118,5,4,3,7,2,4,4,8,4,2,4,1,12.67607627,320000,1,1,1,3,1,1,1,1
119,5,4,2,2,2,5,4,8,5,4,4,1,12.00756073,163990,1,1,1,3,2,1,0,1
120,4,4,5,6,2,5,3,8,4,2,4,1,12.10071213,180000,1,1,1,3,1,1,1,1
121,4,4,2,2,2,4,3,8,1,2,4,4,11.51292546,100000,1,1,2,3,1,0,1,1
122,4,4,2,5,2,4,3,8,1,2,4,1,11.82041016,136000,1,1,1,3,1,1,1,1
123,5,4,2,7,2,5,4,8,1,3,4,1,11.94405832,153900,1,1,1,3,1,1,1,1
124,5,3,2,2,2,3,3,8,4,2,4,1,12.10625231,181000,1,1,1,3,1,1,1,1
125,4,4,4,7,2,4,3,8,1,1,1,1,11.34450681,84500,1,1,0,1,1,0,1,0
126,5,4,2,6,2,3,3,8,4,3,4,1,11.75978554,128000,1,1,1,3,1,1,1,1
127,4,4,2,3,2,5,3,8,4,1,1,1,11.3736634,87000,1,1,0,1,1,0,1,1
128,4,4,2,5,2,3,3,8,3,3,4,1,11.9511804,155000,1,1,1,3,1,1,1,1
129,4,4,2,4,5,3,5,8,1,3,4,2,11.91839057,150000,1,2,0,3,1,1,0,1
130,4,4,2,4,2,5,4,8,5,4,4,5,12.32829028,226000,1,1,1,3,1,1,1,1
131,5,4,2,7,2,5,4,8,4,3,4,1,12.4049235,244000,1,1,3,3,1,1,1,1
132,4,4,2,4,2,4,4,8,1,2,4,1,11.92337811,150750,1,1,2,3,1,1,1,1
133,6,4,2,7,2,5,4,8,1,4,4,1,12.30138283,220000,1,1,1,3,1,1,1,1
134,4,4,2,4,2,4,3,7,4,3,4,4,12.10071213,180000,1,1,1,3,1,1,1,1
135,4,4,2,2,2,4,3,8,5,2,4,4,12.06681058,174000,1,1,1,3,1,1,1,1
136,4,4,2,5,2,3,3,8,3,3,4,1,11.87059991,143000,1,1,1,3,1,1,1,1
137,4,4,2,2,2,4,3,8,1,2,4,1,12.04941884,171000,1,1,0,3,1,1,0,1
138,5,4,3,7,2,5,4,8,4,4,4,5,12.34583459,230000,1,1,1,3,1,1,1,1
139,5,4,2,7,2,5,4,8,1,3,4,4,12.35233515,231500,1,1,1,3,1,1,1,1
140,4,4,2,6,2,3,3,8,2,1,1,1,11.65268741,115000,1,1,0,1,0,1,1,1
141,5,4,4,7,2,5,4,8,1,4,4,1,12.46843691,260000,1,1,1,3,1,1,1,1
142,4,4,2,4,2,2,3,8,1,2,4,4,12.01974307,166000,1,1,2,3,1,1,1,1
143,5,4,5,7,2,5,4,8,1,3,4,1,12.22587527,204000,1,1,1,3,1,1,1,1
144,4,4,2,4,2,3,3,8,1,2,4,1,11.73606902,125000,1,1,2,3,0,1,0,1
145,5,4,2,2,2,5,4,4,1,2,4,1,11.77528973,130000,1,1,2,3,1,1,1,1
146,4,4,2,5,2,3,3,8,1,2,4,1,11.56171563,105000,1,2,2,2,1,1,1,1
147,5,4,2,2,2,5,4,8,5,4,4,1,12.31268238,222500,1,1,3,3,1,1,1,1
148,5,4,2,7,2,5,4,8,1,1,1,1,11.85651517,141000,1,1,0,1,1,1,1,1
149,5,4,2,2,2,4,3,8,1,2,4,1,11.65268741,115000,1,2,2,2,1,1,1,1
150,4,4,4,5,2,3,3,8,1,2,4,4,11.71177632,122000,1,1,1,3,1,1,1,1
151,6,4,5,7,2,5,4,8,5,3,4,1,12.82772919,372402,1,1,1,3,2,1,0,1
152,4,4,2,4,2,4,3,8,5,3,4,3,12.15477935,190000,1,1,1,3,1,1,1,1
153,5,4,5,5,6,4,3,8,5,3,4,1,12.36734079,235000,1,1,1,3,1,1,1,1
154,4,4,2,2,2,3,3,8,1,2,3,1,11.73606902,125000,1,2,2,2,1,1,0,1
155,4,4,2,2,2,2,3,8,1,1,1,1,11.27720313,79000,0,0,0,1,1,0,1,0
156,1,1,1,1,1,3,3,8,1,2,4,1,11.60367983,109500,1,0,2,3,1,1,1,1
157,6,4,2,2,2,5,5,8,5,4,4,1,12.50432367,269500,1,1,3,3,2,1,0,1
158,5,4,2,7,2,5,4,8,5,3,4,3,12.44862659,254900,1,1,1,3,1,1,1,1
159,5,4,3,7,2,5,4,8,5,3,4,1,12.67607627,320000,1,1,1,3,2,1,0,1
160,5,4,2,5,2,3,3,8,1,2,4,1,11.99843328,162500,1,1,1,3,1,1,1,1
161,6,4,4,7,2,5,5,8,5,4,4,1,12.92999148,412500,1,1,3,3,1,1,1,1
162,5,4,3,5,2,5,4,8,5,3,4,1,12.30138283,220000,1,1,1,3,2,1,0,1
163,4,4,2,2,2,5,3,8,1,1,1,4,11.54442413,103200,1,1,0,1,1,1,1,1
164,4,4,3,3,2,4,4,8,1,2,4,1,11.9316358,152000,1,2,2,3,1,1,1,1
165,4,4,2,6,4,4,3,8,1,1,1,1,11.75587164,127500,1,1,0,1,1,1,1,1
166,4,4,2,3,5,5,3,8,5,4,4,3,12.15477935,190000,1,2,1,3,0,1,1,1
167,6,4,2,7,2,5,5,8,5,4,4,1,12.69349862,325624,1,1,1,3,2,1,0,1
168,5,4,2,2,2,5,4,8,5,4,4,1,12.11996995,183500,1,1,1,3,1,1,1,1
169,5,4,2,2,2,3,3,8,4,3,4,1,12.33710091,228000,1,1,1,3,1,1,1,1
170,4,4,2,4,2,3,3,8,1,2,4,1,11.76368418,128500,1,1,2,3,1,1,1,1
171,4,5,5,5,2,2,3,8,5,4,4,1,12.27839331,215000,1,1,1,3,1,0,1,1
172,5,5,2,7,4,4,4,8,4,3,4,1,12.38421883,239000,1,1,1,2,1,1,1,1
173,4,4,2,6,4,3,3,8,4,2,4,1,12.00150548,163000,1,1,1,3,0,1,1,1
174,5,3,2,6,3,3,3,6,4,4,4,1,12.12269104,184000,1,1,1,3,1,1,1,1
175,4,5,4,6,2,3,4,8,5,2,4,4,12.40081672,243000,1,1,1,3,1,1,1,1
176,5,4,2,7,2,3,3,8,4,2,4,1,12.25961341,211000,1,1,1,3,1,1,1,1
177,4,4,2,6,5,5,4,8,5,2,4,1,12.05815252,172500,1,1,1,3,1,1,1,1
178,6,4,2,7,2,5,5,8,5,4,4,1,13.12603064,501837,1,1,1,3,2,1,0,1
179,4,4,2,2,2,3,3,8,1,2,4,1,11.51292546,100000,1,1,2,2,1,0,1,1
180,5,4,2,7,2,5,4,8,4,2,4,1,12.08390501,177000,1,1,2,3,1,1,1,1
181,3,4,2,3,2,4,3,8,5,2,4,1,12.20657252,200100,1,1,2,2,1,1,1,1
182,1,1,1,1,1,5,3,8,5,3,4,4,11.69524702,120000,1,1,1,3,1,1,1,1
183,5,4,2,2,2,5,4,5,1,2,4,1,12.20607265,200000,1,1,2,3,1,0,1,1
184,3,4,2,2,2,4,3,8,1,2,4,4,11.75194237,127000,1,1,1,3,1,1,1,1
185,4,4,3,2,2,5,5,8,4,2,4,5,13.07107008,475000,1,1,2,2,1,1,1,1
186,5,4,4,7,2,5,4,8,1,2,4,5,12.06104687,173000,1,1,1,3,1,1,1,1
187,3,4,2,2,2,5,3,6,1,2,3,4,11.81303006,135000,1,1,2,2,1,0,1,1
188,5,4,4,7,2,3,3,8,4,2,4,1,11.94039339,153337,1,1,2,3,1,1,0,1
189,6,4,4,7,2,5,5,8,5,4,4,1,12.56374709,286000,1,1,1,3,1,1,1,1
190,5,5,2,4,2,3,4,4,4,2,4,1,12.66032792,315000,1,1,2,3,1,1,1,1
191,4,4,2,6,2,4,4,8,1,4,4,1,12.12269104,184000,1,1,1,3,1,1,1,1
192,5,4,4,7,2,5,4,8,1,4,4,1,12.16525065,192000,1,1,1,3,1,1,1,1
193,5,4,2,2,2,5,4,4,1,2,4,1,11.77528973,130000,1,1,2,3,1,1,1,1
194,4,4,4,6,2,3,3,8,1,2,4,1,11.75194237,127000,1,1,2,3,1,1,1,1
195,5,4,2,6,2,3,3,8,4,2,4,1,11.90834024,148500,1,1,1,3,1,1,1,1
196,6,4,2,7,2,5,5,8,5,4,4,1,12.65034813,311872,1,1,1,3,2,1,0,1
197,4,4,2,7,3,4,4,8,6,2,4,5,12.36734079,235000,1,1,2,3,1,1,0,1
198,4,4,2,2,2,5,3,8,1,1,1,4,11.55214618,104000,1,1,0,1,1,1,0,1
199,6,4,4,7,2,5,5,8,5,4,4,1,12.52416267,274900,1,1,1,3,1,1,1,1
200,5,4,2,2,2,5,3,8,1,3,4,1,11.8493977,140000,1,1,1,3,1,1,1,1
201,4,4,2,6,3,3,3,8,3,2,4,4,12.05233855,171500,1,1,2,3,1,1,1,1
202,3,4,2,3,2,4,3,7,1,2,4,1,11.62625415,112000,1,1,1,3,0,1,1,1
203,5,4,4,7,2,5,4,8,5,3,4,1,11.91170158,149000,1,1,1,3,1,1,1,1
204,4,4,2,3,2,3,3,8,1,2,4,2,11.60823564,110000,1,1,2,3,1,1,1,1
205,5,4,2,2,2,5,3,8,1,3,4,1,12.10348606,180500,1,1,1,3,1,1,1,1
206,4,4,2,2,2,3,3,6,4,3,4,1,11.87687389,143900,1,1,1,3,1,1,1,1
207,4,4,2,6,4,3,3,8,2,3,4,3,11.85651517,141000,1,1,1,3,1,1,1,1
208,5,4,5,7,2,5,3,8,5,4,4,1,12.53177279,277000,1,1,1,3,1,1,1,1
209,5,4,2,4,2,5,3,8,1,3,5,4,11.88448902,145000,1,1,1,3,1,1,1,1
210,4,4,2,4,2,3,3,8,1,1,1,1,11.49272276,98000,1,2,0,1,1,1,1,0
211,5,4,3,7,2,5,4,8,1,3,4,1,12.13350195,186000,1,1,1,3,1,1,1,1
212,5,4,2,7,2,5,4,8,4,3,4,1,12.43987123,252678,1,1,1,3,2,1,0,1
213,5,4,2,6,2,5,3,8,1,2,4,1,11.95761129,156000,1,1,1,3,1,1,1,1
214,5,4,2,7,2,5,3,8,1,4,4,4,11.99380721,161750,1,1,1,3,1,1,1,1
215,4,4,2,5,2,3,4,7,3,2,4,4,11.80894766,134450,1,1,1,3,1,1,1,1
216,5,4,3,7,2,5,4,8,1,2,4,1,12.25486281,210000,1,1,1,3,1,1,1,1
217,4,4,2,2,2,2,3,8,1,2,4,1,11.58058411,107000,1,1,2,3,1,1,0,0
218,4,4,2,5,2,5,4,8,4,2,4,1,12.64915462,311500,1,1,1,3,1,1,1,1
219,5,4,4,7,2,5,4,8,1,4,4,1,12.02718519,167240,1,1,1,3,2,1,0,1
220,5,4,3,2,2,5,4,8,1,3,4,1,12.23027733,204900,1,1,1,3,2,1,0,1
221,5,4,2,2,2,5,4,8,4,3,4,1,12.20607265,200000,1,1,3,3,0,1,1,1
222,5,4,2,6,2,3,3,8,4,3,4,4,12.10015642,179900,1,1,1,3,1,1,1,1
223,4,4,2,6,3,4,3,8,1,2,4,1,11.48246626,97000,1,1,2,3,1,1,0,1
224,6,4,5,7,2,5,5,8,6,4,4,1,12.86424011,386250,1,1,1,3,1,1,1,1
225,4,4,2,2,2,3,3,8,1,2,4,1,11.62625415,112000,1,1,2,3,0,1,0,1
226,5,4,2,7,2,5,4,8,4,3,4,1,12.5776362,290000,1,1,1,3,1,1,0,1
227,4,4,2,4,2,3,3,8,1,2,4,1,11.57119437,106000,1,1,2,3,1,1,1,1
228,4,4,2,6,2,3,3,8,3,2,4,4,11.73606902,125000,1,1,2,3,1,1,1,1
229,5,4,4,7,2,5,4,8,4,4,4,1,12.16785143,192500,1,1,1,3,1,1,1,1
230,4,4,2,2,2,3,3,8,1,3,4,1,11.90496755,148000,1,1,1,3,1,1,1,1
231,5,4,2,7,2,5,5,8,4,4,4,1,12.90669184,403000,1,1,1,3,1,1,1,1
232,4,4,2,2,2,3,3,8,2,2,4,1,11.45635511,94500,1,1,1,3,1,1,1,1
233,4,5,4,3,6,3,3,8,1,2,4,4,11.76134682,128200,1,1,1,3,1,1,1,1
234,5,4,2,7,2,5,4,8,4,4,4,1,12.28534583,216500,1,1,3,3,1,1,1,1
235,4,4,2,6,2,3,3,8,1,2,4,1,11.4019939,89500,1,1,2,3,1,1,1,1
236,5,4,4,7,2,5,4,8,1,3,4,1,12.13081016,185500,1,1,1,3,1,1,1,1
237,5,4,2,5,2,5,4,8,1,3,4,1,12.17818744,194500,1,1,1,3,1,1,1,1
238,6,4,2,2,2,5,4,8,1,4,4,1,12.66980666,318000,1,1,1,3,2,1,0,1
239,4,3,2,3,2,3,3,8,5,2,4,4,11.6351431,113000,1,2,2,3,1,1,1,1
240,5,4,4,7,2,5,4,8,1,3,4,1,12.47800636,262500,1,1,1,3,1,1,1,1
241,4,4,2,6,2,4,4,8,1,1,1,1,11.6127708,110500,1,1,0,1,1,1,1,1
